megatopic_id;megatopic_description;n_topics;topic_ids;article_count;article_share;coherence_cv_mean;coherence_cv_std;coherence_cv_min;coherence_cv_max;mean_year;year_range;temporal_trend;n_countries;n_continents;top_countries;top_keywords;top_journals;geographic_concentration;growth_rate_5yr;dominant_topic_pct;research_flow_pct;year_min;year_max;mean_hdi;mean_gii;mean_gdp_per_capita;mean_female_homicide_rate;mean_maternal_mortality;mean_women_parliament;mean_female_labor_force;coverage_hdi_pct;coverage_gii_pct;coverage_gdp_pct;coverage_female_homicide_pct;coverage_maternal_mortality_pct;coverage_women_parliament_pct;coverage_female_labor_force_pct;n_researcher_countries;study_research_country_overlap_pct
1;Intimate partner and domestic violence;5;"1; 4; 11; 26; 30";137;23.62;0.7564;0.0723;0.6355;0.8048;2019.8;2011–2025;0.8607;65;9;"ETH (14); IND (8); BRA (7); USA (6); BGD (5)";violence, woman, partner, ipv, health, sexual, intimate, intimate partner, partner violence, physical, age, domestic, husband, domestic violence, violence woman;"PLOS ONE (14); AMERICAN JOURNAL OF PUBLIC HEALTH (2); BMJ OPEN (2); RISK MANAGEMENT AND HEALTHCARE POLICY (2)";0.0192602040816326;0.1071428571428571;0.2720588235294117;0.3897058823529412;2011;2025;0.6913;0.3888;14127.4968;2.6072;171.3306;25.5088;52.5488;89.71;89.71;89.71;58.82;88.97;88.97;89.71;49;41.84
2;Children, adolescents and youth;4;"2; 15; 23; 29";54;9.31;0.5915;0.0808;0.5189;0.7;2021.0;2011–2025;0.5751;33;6;"USA (7); ZAF (4); ESP (4); CHN (2); DEU (2)";violence, woman, sexual, ipv, health, partner, adolescent, report, age, physical, student, teacher, campus, female student, child;"BMC PUBLIC HEALTH (2); PSYCHOLOGICAL MEDICINE (2); ADDICTIVE BEHAVIORS (1); ARCHIVES OF WOMEN'S MENTAL HEALTH (1); HEALTH POLICY AND PLANNING (1)";0.0433136094674556;1.9166666666666667;0.3888888888888889;0.3703703703703703;2011;2025;0.8136;0.2394;33605.6595;2.4289;54.5882;31.0668;53.1549;94.44;94.44;94.44;81.48;94.44;92.59;94.44;20;52.78
3;Minority Groups and Vulnerable Populations;6;"3; 10; 12; 13; 16; 18";105;18.1;0.7853;0.08;0.6607;0.8924;2020.3;2013–2025;0.7363;44;10;"USA (18); CAN (9); UGA (7); ZAF (7); KEN (5)";violence, woman, health, partner, sexual, hiv, ipv, sex worker, sex, worker, sex work, client, cash, transfer, food;"AIDS CARE (2); BMJ OPEN (2); INT J DRUG POLICY (2); JOURNAL OF INTERPERSONAL VIOLENCE (2); BMJ GLOBAL HEALTH (1)";0.0379102040816326;0.0888888888888888;0.2571428571428571;0.3238095238095238;2013;2025;0.7533;0.3333;26165.8426;2.7776;118.0947;27.4019;56.6959;90.48;90.48;90.48;81.90;90.48;90.48;90.48;31;28.95
4;Humanitarian, migration and armed conflicts;3;"17; 24; 25";44;7.59;0.7102;0.1363;0.5841;0.8548;2019.5;2013–2025;0.1099;31;6;"UGA (4); SSD (3); PNG (3); ETH (3); KEN (2)";woman, violence, health, sexual, partner, report, ipv, conflict, war, men, refugee, camp, service, migrant, migration;"BMJ OPEN (2); PLOS ONE (2); CONFLICT AND HEALTH, 2016 (1); INTERNATIONAL MIGRATION (1); J OF MARRIAGE AND FAMILY 2023.85:7-32 (1)";0.0373553719008264;0.1875;0.3409090909090909;0.4772727272727273;2013;2025;0.6443;0.4279;13770.3328;2.5750;227.6842;28.0434;55.1396;86.36;86.36;81.82;56.82;86.36;86.36;86.36;21;36.59
5;Health and social support;5;"5; 7; 8; 31; 32";112;19.31;0.6592;0.1315;0.5142;0.8505;2021.3;2012–2025;1.3846;57;7;"USA (15); BRA (7); GBR (6); ZAF (4); LBN (4)";violence, woman, health, partner, ipv, sexual, report, experience, mental, mental health, disorder, hiv, sex, age, covid;"PLOS ONE (10); AIDS AND BEHAVIOR (3); BMC PUBLIC HEALTH (3); PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY (3)";0.0370906660726219;2.4347826086956523;0.2946428571428571;0.3303571428571428;2012;2025;0.7350;0.3481;21538.1999;2.7530;123.3301;26.8370;52.2400;91.96;91.96;91.07;71.43;91.96;91.07;91.96;42;42.65
6;Locations and contextual factors;6;"6; 9; 19; 21; 27; 28";91;15.69;0.6213;0.1051;0.5245;0.7615;2020.5;2013–2025;0.7363;52;11;"USA (13); CAN (4); ESP (4); ETH (4); BRA (3)";woman, violence, health, ipv, partner, sexual, report, intimate, workplace, country, child marriage, marriage, neighborhood, social, partner violence;"PLOS ONE (7); BMC PUBLIC HEALTH (3); AMERICAN JOURNAL OF EPIDEMIOLOGY (1); JOURNAL OF FORENSIC AND LEGAL MEDICINE, 80 (2021) 102174 (1); JOURNAL OF HEALTH, GLOBAL (1)";0.0178122448979592;1.08;0.2417582417582417;0.2087912087912088;2013;2025;0.7663;0.2955;25695.3077;2.3055;117.3562;27.7047;52.9666;81.32;81.32;80.22;60.44;80.22;80.22;81.32;35;27.72
7;Lethal and Sexual Violence;3;"14; 20; 22";37;6.38;0.7222;0.0574;0.6875;0.7884;2021.3;2013–2025;0.4095;19;4;"USA (9); BRA (7); ETH (2); NPL (2); IRN (2)";violence, woman, sexual, sexual violence, health, partner, death, rape, husband, factor, report, homicide, victim, sexual homicide, firearm;"PLOS ONE (3); AMERICAN JOURNAL OF PREVENTIVE MEDICINE, 62 (2022) 529-537 (1); HOMICIDE STUDIES 2023.27:472-492 (1); J INTERPERSONAL VIOLENCE (1); JOURNAL OF INTERPERSONAL VIOLENCE (1)";0.0781249999999999;1.2727272727272727;0.4324324324324324;0.2432432432432432;2013;2025;0.7459;0.3525;26832.5058;2.8645;110.8857;23.8670;50.7166;97.30;97.30;94.59;72.97;94.59;94.59;97.30;21;42.42
