megatopic_id,list_type,rank,item,value
7,top_keywords,4,sexual violence,NA
7,top_keywords,5,health,NA
7,top_keywords,6,partner,NA
7,top_keywords,7,death,NA
7,top_keywords,8,rape,NA
7,top_keywords,9,husband,NA
7,top_keywords,10,factor,NA
7,top_keywords,11,report,NA
7,top_keywords,12,homicide,NA
7,top_keywords,13,victim,NA
7,top_keywords,14,sexual homicide,NA
7,top_keywords,15,firearm,NA
7,top_countries,1,USA,9
7,top_countries,2,BRA,7
7,top_countries,3,ETH,2
7,top_countries,4,NPL,2
7,top_countries,5,IRN,2
7,top_journals,1,PLOS ONE,3
7,top_journals,2,"AMERICAN JOURNAL OF PREVENTIVE MEDICINE, 62 (2022) 529-537",1
7,top_journals,3,HOMICIDE STUDIES 2023.27:472-492,1
7,top_journals,4,J INTERPERSONAL VIOLENCE,1
7,top_journals,5,JOURNAL OF INTERPERSONAL VIOLENCE,1
